author,NF,F,NC,Total,F_Ratio
885177,83,3,33,119,0.025210084033613446
747489,37,1,54,92,0.010869565217391304
134934,5,0,0,5,0.0
510547,3,0,1,4,0.0
263304,0,0,2,2,0.0
172664,11,8,51,70,0.11428571428571428
343462,46,2,26,74,0.02702702702702703
819527,91,62,48,201,0.30845771144278605
381287,3,2,2,7,0.2857142857142857
823568,3,0,2,5,0.0
877923,72,3,93,168,0.017857142857142856
310854,0,0,4,4,0.0
910119,126,6,168,300,0.02
131555,539,121,587,1247,0.09703287890938252
127517,109,1,17,127,0.007874015748031496
132163,37,0,27,64,0.0
52260,57,34,40,131,0.2595419847328244
828798,26,0,7,33,0.0
305978,75,16,25,116,0.13793103448275862
335031,12,0,33,45,0.0
320250,0,0,1,1,0.0
914581,4,0,5,9,0.0
877328,43,1,32,76,0.013157894736842105
40583,24,1,1,26,0.038461538461538464
244994,9,1,8,18,0.05555555555555555
959721,0,0,1,1,0.0
54850,0,0,1,1,0.0
568466,47,1,86,134,0.007462686567164179
933523,1,0,3,4,0.0
76957,95,5,72,172,0.029069767441860465
516397,314,26,799,1139,0.0228270412642669
823519,0,0,2,2,0.0
675714,80,12,63,155,0.07741935483870968
560442,22,4,106,132,0.030303030303030304
151561,2,0,1,3,0.0
674782,74,0,34,108,0.0
890307,131,7,56,194,0.03608247422680412
976735,36,14,15,65,0.2153846153846154
735197,23,0,20,43,0.0
508347,99,2,14,115,0.017391304347826087
2830,7,1,4,12,0.08333333333333333
704376,0,0,3,3,0.0
917403,6,1,13,20,0.05
542274,4,0,2,6,0.0
648858,1201,222,485,1908,0.11635220125786164
408358,18,0,38,56,0.0
588002,7,0,10,17,0.0
67037,0,0,2,2,0.0
253582,90,1,67,158,0.006329113924050633
901348,0,0,8,8,0.0
72165,62,4,22,88,0.045454545454545456
886452,25,0,12,37,0.0
620119,4,3,8,15,0.2
693362,17,0,12,29,0.0
12166,5,10,5,20,0.5
115958,7,0,2,9,0.0
849894,63,10,55,128,0.078125
584502,36,27,16,79,0.34177215189873417
149577,15,1,2,18,0.05555555555555555
960332,1,0,17,18,0.0
110734,0,0,2,2,0.0
685693,14,0,6,20,0.0
492586,171,0,90,261,0.0
304744,94,8,94,196,0.04081632653061224
874998,67,4,46,117,0.03418803418803419
41094,369,79,205,653,0.12098009188361408
149343,18,1,19,38,0.02631578947368421
575444,76,8,32,116,0.06896551724137931
24965,30,0,19,49,0.0
5784,0,1,1,2,0.5
487691,2,0,2,4,0.0
620959,0,0,2,2,0.0
769264,74,13,39,126,0.10317460317460317
528998,170,12,52,234,0.05128205128205128
69745,33,1,31,65,0.015384615384615385
566522,42,4,25,71,0.056338028169014086
968765,28,0,20,48,0.0
814875,10,15,12,37,0.40540540540540543
960464,75,15,26,116,0.12931034482758622
54230,11,2,13,26,0.07692307692307693
852241,236,36,63,335,0.10746268656716418
