author,NF,F,NC,Total,F_Ratio
189892,15,1,6,22,0.045454545454545456
126667,4,0,15,19,0.0
36920,1,1,0,2,0.5
464631,9,0,12,21,0.0
592541,22,0,11,33,0.0
37309,4,0,0,4,0.0
939031,63,1,45,109,0.009174311926605505
361527,4,0,0,4,0.0
845909,81,5,48,134,0.03731343283582089
447056,1,0,0,1,0.0
132396,18,0,59,77,0.0
848472,12,0,6,18,0.0
825646,15,2,1,18,0.1111111111111111
785546,2,0,0,2,0.0
160285,0,0,3,3,0.0
,7,0,4,11,0.0
342737,26,3,24,53,0.05660377358490566
525528,17,14,12,43,0.32558139534883723
82722,0,0,1,1,0.0
799375,4,0,2,6,0.0
260243,0,1,9,10,0.1
202516,7,0,4,11,0.0
711203,181,26,220,427,0.06088992974238876
217454,35,8,12,55,0.14545454545454545
830673,61,3,26,90,0.03333333333333333
12426,112,40,64,216,0.18518518518518517
86135,2,7,8,17,0.4117647058823529
239533,4,1,5,10,0.1
946493,29,3,21,53,0.05660377358490566
846380,4,2,7,13,0.15384615384615385
414432,45,0,22,67,0.0
518568,73,93,138,304,0.3059210526315789
764461,8,0,11,19,0.0
575244,174,15,139,328,0.04573170731707317
992207,30,3,9,42,0.07142857142857142
467825,6,12,7,25,0.48
287865,16,11,21,48,0.22916666666666666
477217,36,19,52,107,0.17757009345794392
303624,49,15,85,149,0.10067114093959731
646172,25,5,7,37,0.13513513513513514
626555,126,26,44,196,0.1326530612244898
413644,2,0,11,13,0.0
171330,112,24,154,290,0.08275862068965517
492941,73,2,131,206,0.009708737864077669
180489,5,0,11,16,0.0
193816,111,15,96,222,0.06756756756756757
295803,1,1,2,4,0.25
213671,8,0,10,18,0.0
388912,8,2,9,19,0.10526315789473684
864136,0,0,1,1,0.0
253295,80,7,69,156,0.04487179487179487
288813,5,9,14,28,0.32142857142857145
524807,12,4,3,19,0.21052631578947367
829914,10,6,5,21,0.2857142857142857
961021,46,5,29,80,0.0625
281934,27,18,22,67,0.26865671641791045
874807,29,0,51,80,0.0
39036,5,1,2,8,0.125
566317,2,0,0,2,0.0
909976,0,2,2,4,0.5
673322,3,0,0,3,0.0
856060,6,2,4,12,0.16666666666666666
927484,1,0,2,3,0.0
442140,5,0,0,5,0.0
348971,109,14,99,222,0.06306306306306306
353084,2,0,19,21,0.0
702273,14,32,20,66,0.48484848484848486
704795,0,1,11,12,0.08333333333333333
801309,18,4,15,37,0.10810810810810811
207192,42,53,33,128,0.4140625
948758,18,2,43,63,0.031746031746031744
643366,3,0,11,14,0.0
590242,2,0,0,2,0.0
89562,3,0,2,5,0.0
651789,2,0,0,2,0.0
532698,12,1,2,15,0.06666666666666667
421256,3,0,3,6,0.0
702390,166,44,139,349,0.12607449856733524
776316,95,29,40,164,0.17682926829268292
119610,0,0,2,2,0.0
942074,1,0,0,1,0.0
899865,62,55,29,146,0.3767123287671233
410709,0,0,8,8,0.0
542607,10,0,16,26,0.0
735956,10,9,6,25,0.36
174460,31,36,18,85,0.4235294117647059
299059,2,0,4,6,0.0
62588,1,0,1,2,0.0
284397,1,0,1,2,0.0
233365,1,0,0,1,0.0
705736,2,0,2,4,0.0
589729,59,0,34,93,0.0
395164,2,0,0,2,0.0
599893,4,0,0,4,0.0
2376,5,0,6,11,0.0
654592,2,24,0,26,0.9230769230769231
663697,200,84,112,396,0.21212121212121213
5667,7,3,9,19,0.15789473684210525
304175,0,0,2,2,0.0
623853,1,0,1,2,0.0
285789,5,0,8,13,0.0
177313,0,6,27,33,0.18181818181818182
39110,16,0,4,20,0.0
170781,9,0,11,20,0.0
289495,6,0,1,7,0.0
258713,11,0,6,17,0.0
459331,20,3,7,30,0.1
292237,6,0,1,7,0.0
715338,78,2,37,117,0.017094017094017096
721459,40,3,5,48,0.0625
253509,1,0,0,1,0.0
47587,2,0,1,3,0.0
884803,25,0,10,35,0.0
674120,12,0,0,12,0.0
234778,6,0,1,7,0.0
344425,15,0,3,18,0.0
350602,2,0,0,2,0.0
819182,4,0,0,4,0.0
25879,2,0,3,5,0.0
772338,5,0,3,8,0.0
518785,7,2,5,14,0.14285714285714285
252041,1,0,2,3,0.0
938209,8,1,4,13,0.07692307692307693
633756,0,0,31,31,0.0
767022,27,13,11,51,0.2549019607843137
655538,22,1,5,28,0.03571428571428571
397444,1,0,3,4,0.0
533392,4,0,0,4,0.0
504787,1,0,0,1,0.0
639856,1,0,0,1,0.0
79206,7,0,1,8,0.0
544776,1,2,0,3,0.6666666666666666
757221,40,19,19,78,0.24358974358974358
5391,0,1,4,5,0.2
868135,9,0,2,11,0.0
561329,8,0,5,13,0.0
869646,18,0,2,20,0.0
52357,15,0,1,16,0.0
701630,10,10,11,31,0.3225806451612903
406067,3,0,0,3,0.0
210762,25,0,17,42,0.0
359033,1,0,0,1,0.0
596974,2,0,10,12,0.0
448637,8,0,0,8,0.0
742469,3,0,0,3,0.0
460009,4,0,0,4,0.0
318537,3,0,0,3,0.0
