author,NF,F,NC,Total,F_Ratio
754336,3,0,0,3,0.0
833671,34,0,16,50,0.0
646581,4,0,9,13,0.0
218353,73,0,236,309,0.0
412627,36,0,67,103,0.0
795674,55,0,42,97,0.0
774635,0,0,2,2,0.0
50604,0,0,3,3,0.0
739287,14,0,5,19,0.0
459327,0,0,1,1,0.0
438148,0,0,3,3,0.0
175949,9,0,4,13,0.0
357690,1,0,0,1,0.0
837107,1,0,0,1,0.0
416560,13,0,1,14,0.0
355628,4,0,0,4,0.0
178321,0,0,1,1,0.0
22376,0,0,2,2,0.0
66333,0,0,4,4,0.0
489945,7,0,24,31,0.0
887722,1,0,0,1,0.0
60327,1,0,0,1,0.0
286145,0,0,2,2,0.0
983239,7,0,0,7,0.0
632638,0,0,1,1,0.0
953954,6,0,0,6,0.0
574082,46,0,17,63,0.0
708186,4,0,6,10,0.0
440248,2,0,5,7,0.0
408072,12,0,4,16,0.0
464794,1,0,0,1,0.0
878186,1,0,0,1,0.0
733371,144,2,60,206,0.009708737864077669
879325,23,0,12,35,0.0
45023,16,0,26,42,0.0
34244,7,0,0,7,0.0
720924,6,0,1,7,0.0
404556,13,0,4,17,0.0
514698,5,0,2,7,0.0
90988,39,0,70,109,0.0
38938,0,0,105,105,0.0
114358,0,0,845,845,0.0
934404,0,0,51,51,0.0
706361,0,0,2,2,0.0
747334,0,0,3,3,0.0
960174,7,0,6,13,0.0
723564,3,0,0,3,0.0
358081,156,0,152,308,0.0
402105,1,0,0,1,0.0
621399,140,0,114,254,0.0
81114,202,0,350,552,0.0
253628,945,0,688,1633,0.0
837257,92,0,43,135,0.0
923207,613,0,249,862,0.0
931022,26,0,7,33,0.0
553162,28,0,11,39,0.0
913206,26,0,21,47,0.0
765885,27,0,8,35,0.0
935856,2,0,0,2,0.0
159407,10,0,0,10,0.0
456849,24,0,25,49,0.0
276941,4,0,0,4,0.0
413726,0,0,1,1,0.0
538304,4,0,0,4,0.0
638137,280,0,248,528,0.0
61945,1,0,3,4,0.0
853656,1,0,1,2,0.0
123525,154,15,513,682,0.021994134897360705
37672,349,0,830,1179,0.0
398318,5,0,2,7,0.0
375440,8,0,0,8,0.0
280975,2,0,0,2,0.0
392124,0,0,3,3,0.0
309991,9,0,0,9,0.0
202742,126,0,70,196,0.0
439188,31,0,33,64,0.0
653623,2,0,0,2,0.0
463372,5,0,0,5,0.0
317761,3,0,0,3,0.0
318447,7,0,4,11,0.0
933543,748,0,332,1080,0.0
373737,0,0,2,2,0.0
827817,275,0,164,439,0.0
518677,22,2,0,24,0.08333333333333333
127274,418,20,176,614,0.03257328990228013
198890,31,0,14,45,0.0
495340,23,0,4,27,0.0
375891,143,0,48,191,0.0
55533,0,0,1,1,0.0
419110,96,0,37,133,0.0
866553,12,0,3,15,0.0
990706,28,0,1,29,0.0
974668,3,0,0,3,0.0
973397,1,0,0,1,0.0
203645,18,0,1,19,0.0
884931,5,0,1,6,0.0
785007,1,0,0,1,0.0
700412,8,0,1,9,0.0
31093,59,0,30,89,0.0
243509,34,0,149,183,0.0
504933,39,0,12,51,0.0
328167,5,0,1,6,0.0
376160,133,0,290,423,0.0
703458,4,0,2,6,0.0
243703,0,0,20,20,0.0
154424,0,0,1,1,0.0
80842,432,0,210,642,0.0
642275,775,0,271,1046,0.0
893647,59,0,53,112,0.0
933467,359,3,178,540,0.005555555555555556
272439,111,1,51,163,0.006134969325153374
286725,2,0,10,12,0.0
778554,21,0,3,24,0.0
716309,1,0,0,1,0.0
17680,9,0,3,12,0.0
517794,33,0,8,41,0.0
285355,2,0,0,2,0.0
133761,12,0,3,15,0.0
178342,3,0,1,4,0.0
902521,9,0,6,15,0.0
331911,778,0,1239,2017,0.0
527960,11,0,2,13,0.0
474266,78,0,57,135,0.0
226721,278,0,108,386,0.0
633861,0,0,1,1,0.0
777085,1,0,1,2,0.0
673396,10,0,913,923,0.0
337517,0,0,192,192,0.0
789909,0,0,119,119,0.0
261930,0,0,39,39,0.0
719362,0,0,94,94,0.0
406409,0,0,11,11,0.0
595565,9,0,820,829,0.0
982064,0,0,62,62,0.0
899169,0,0,24,24,0.0
385063,0,0,29,29,0.0
279914,0,0,10,10,0.0
752483,0,0,35,35,0.0
197883,3,0,170,173,0.0
680086,0,0,34,34,0.0
934539,0,0,23,23,0.0
221832,3,0,0,3,0.0
